file,created_by,float_col,n_rows,null_count,nan_value_count,carries_nan
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x1,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x6,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x7,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x8,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x9,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x10,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x11,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x12,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x13,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x14,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x15,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x16,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x17,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x18,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x19,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x20,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x21,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x22,13272,0,0,False
hf_creditcard.parquet,parquet-cpp-arrow version 11.0.0,x23,13272,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,time_in_hospital,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,num_lab_procedures,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,num_procedures,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,num_medications,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,number_outpatient,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,number_emergency,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,number_inpatient,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,number_diagnoses,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,change,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,diabetesMed,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,race:AfricanAmerican,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,race:Asian,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,race:Caucasian,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,race:Hispanic,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,race:Other,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,gender:Female,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,gender:Male,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,age:70+,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,age:[0-10),81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,age:[10-20),81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,age:[20-50),81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,age:[50-70),81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,admission_type_id:Elective,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,admission_type_id:Emergency,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,admission_type_id:New Born,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,admission_type_id:Trauma Center,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,discharge_disposition_id:Discharged to Home,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,discharge_disposition_id:Other,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,admission_source_id:Emergency,81410,0,0,False
hf_diabetes.parquet,parquet-cpp-arrow version 11.0.0,admission_source_id:Other,81410,0,0,False
